text,aspect,label
"The food at Forest Hills was great, the service more than perfect, but but the ambience was too hot they do not have AC and the employes was sweating a lot , it was a nasty esxperience because I eat in front of the service that was sweating like animals.",ambience,negative
"The food at Forest Hills was great, the service more than perfect, but but the ambience was too hot they do not have AC and the employes was sweating a lot , it was a nasty esxperience because I eat in front of the service that was sweating like animals.",staff,negative
The food is average and the service is insulting.,food,positive
The food is average and the service is insulting.,service,negative
"We were promptly seated - the waitress was very attentive, got us drinks and menus.",staff,positive
"We were promptly seated - the waitress was very attentive, got us drinks and menus.",food,neutral
"We were promptly seated - the waitress was very attentive, got us drinks and menus.",menu,neutral
"Great place to meet friends or co workers for drinks, dinner or both.",staff,positive
"Great place to meet friends or co workers for drinks, dinner or both.",food,neutral
"Great place to meet friends or co workers for drinks, dinner or both.",place,neutral
"The service was not great, the wait staff were not clear on the ingredients and or preparation details of the meals.",staff,negative
"The service was not great, the wait staff were not clear on the ingredients and or preparation details of the meals.",ambience,negative
"The service was not great, the wait staff were not clear on the ingredients and or preparation details of the meals.",food,neutral
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",food,positive
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",place,neutral
"On the other hand, I never felt rushed to vacate the place at the end of my meal.",place,neutral
"On the other hand, I never felt rushed to vacate the place at the end of my meal.",food,neutral
"The wait staff was all hanging at the bar, lounging around.",staff,negative
"The wait staff was all hanging at the bar, lounging around.",place,neutral
My friend was looking forward to her favorite dish on the menu had made reservations for the 14 of us a few weeks beforehand.,food,positive
My friend was looking forward to her favorite dish on the menu had made reservations for the 14 of us a few weeks beforehand.,menu,neutral
"Meanwhile, our server was dancing and posing by the bar.",staff,positive
"Meanwhile, our server was dancing and posing by the bar.",place,neutral
"They had a prix fixe menu with the most amazing cooked quail appetizer, then lobster bisque, followed by a divine choice of entree, and then the chocolate mousse dessert.",menu,neutral
"They had a prix fixe menu with the most amazing cooked quail appetizer, then lobster bisque, followed by a divine choice of entree, and then the chocolate mousse dessert.",food,positive
"As we looked at the menu and the wine list, my friend overheard the manager comment to a waitress about me that the least he could do is wear a button down shirt, and not show up dressed like a Gristede's boxcutter.",menu,neutral
"As we looked at the menu and the wine list, my friend overheard the manager comment to a waitress about me that the least he could do is wear a button down shirt, and not show up dressed like a Gristede's boxcutter.",staff,negative
The waiter spent a long time telling us about the menu (and more about his own life history in the process.,staff,positive
The waiter spent a long time telling us about the menu (and more about his own life history in the process.,menu,neutral
"service was reasonably quick via delivery, but the hunan beef had no spice whatsoever and the chicken chow mein really looked inedible.",service,positive
"service was reasonably quick via delivery, but the hunan beef had no spice whatsoever and the chicken chow mein really looked inedible.",food,positive
Food was good but portions were quite tiny.,food,positive
Food was good but portions were quite tiny.,miscellaneous,negative
"Then we were led downstairs to the main room, and were seated at the huge communal dining room table.",service,neutral
"Then we were led downstairs to the main room, and were seated at the huge communal dining room table.",place,neutral
"Nice family place, nice atmosphere, but don't go there for pizza.",place,positive
"Nice family place, nice atmosphere, but don't go there for pizza.",ambience,positive
"Nice family place, nice atmosphere, but don't go there for pizza.",food,positive
"While the restaurant/space itself isn't so great (somewhat cramped cheesy interior, and the name implies its a burrito take-out place), the service and food outway its few cons.",place,positive
"While the restaurant/space itself isn't so great (somewhat cramped cheesy interior, and the name implies its a burrito take-out place), the service and food outway its few cons.",food,negative
"While the restaurant/space itself isn't so great (somewhat cramped cheesy interior, and the name implies its a burrito take-out place), the service and food outway its few cons.",service,positive
The manager very politely told the drunk man that he could leave and then gave everyone on the resturaunt a free glass of port for having to witness it.,staff,positive
The manager very politely told the drunk man that he could leave and then gave everyone on the resturaunt a free glass of port for having to witness it.,miscellaneous,neutral
"Yellowtail tuna carpaccio, lightly dressed with a hint of mint, sings of summer, and crab salad partnered with sweet-hot mango mustard and greens hits all the right flavor notes.",food,positive
"Yellowtail tuna carpaccio, lightly dressed with a hint of mint, sings of summer, and crab salad partnered with sweet-hot mango mustard and greens hits all the right flavor notes.",miscellaneous,positive
"The menu is limited: chicken, rice beans, frozen fish (shrimp, whiting, crab sticks), and french fries, but one receives EXCELLENT value for the money and it is SO WORTH walking down the block for.",menu,neutral
"The menu is limited: chicken, rice beans, frozen fish (shrimp, whiting, crab sticks), and french fries, but one receives EXCELLENT value for the money and it is SO WORTH walking down the block for.",food,positive
"The menu is limited: chicken, rice beans, frozen fish (shrimp, whiting, crab sticks), and french fries, but one receives EXCELLENT value for the money and it is SO WORTH walking down the block for.",miscellaneous,positive
"The menu is limited: chicken, rice beans, frozen fish (shrimp, whiting, crab sticks), and french fries, but one receives EXCELLENT value for the money and it is SO WORTH walking down the block for.",price,neutral
It's sad that everything about this place was great (even the service and decor) except for the steak.,service,neutral
It's sad that everything about this place was great (even the service and decor) except for the steak.,ambience,positive
It's sad that everything about this place was great (even the service and decor) except for the steak.,food,positive
Get there before 7:30 for dinner or get ready for a really long wait - this place doesn't take reservations.,food,neutral
Get there before 7:30 for dinner or get ready for a really long wait - this place doesn't take reservations.,service,negative
"Service was inexcusably, excruciatingly slow- it took more than 30 min to get the first round of drinks, by which point our party was ready to walk out.",service,negative
"Service was inexcusably, excruciatingly slow- it took more than 30 min to get the first round of drinks, by which point our party was ready to walk out.",food,neutral
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",miscellaneous,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",food,negative
"If you want a quiet dinner don't show up late, cuz the atmosphere gets louder and more loungy as the nite goes on.",food,neutral
"If you want a quiet dinner don't show up late, cuz the atmosphere gets louder and more loungy as the nite goes on.",ambience,negative
"The food was pretty good, but due to our large size (~16) the manager asked us to limit our appetizers to just 3 selections b/c he didn't want to overburden his cooks.",staff,negative
"The food was pretty good, but due to our large size (~16) the manager asked us to limit our appetizers to just 3 selections b/c he didn't want to overburden his cooks.",food,negative
"The ambience is simple, yet elegant and be sure to finish your meal with their famous shlog.",ambience,positive
"The ambience is simple, yet elegant and be sure to finish your meal with their famous shlog.",food,positive
If it's atmosphere you want go to the River Cafe under the bridges and pay an arm and a leg for hospital-type food.,ambience,positive
If it's atmosphere you want go to the River Cafe under the bridges and pay an arm and a leg for hospital-type food.,food,neutral
"The calamari, the penne and vodka sauce, the friendly service the parking and the open area kitchen to see all the action in the making!",food,neutral
"The calamari, the penne and vodka sauce, the friendly service the parking and the open area kitchen to see all the action in the making!",service,positive
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi.",food,positive
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi.",staff,positive
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi.",miscellaneous,positive
"The matre de ignored what I said about my girlfriend having to look for a waiter to refill her glass (twice), I mentioned about my rice, he said, You should have spoken up.",staff,negative
"The matre de ignored what I said about my girlfriend having to look for a waiter to refill her glass (twice), I mentioned about my rice, he said, You should have spoken up.",food,neutral
"Interior is limited, but there is a second floor for dining to avoid some of the main floor chatter.",place,positive
"Interior is limited, but there is a second floor for dining to avoid some of the main floor chatter.",food,positive
However service was quite slow for a lunch hour.,service,negative
However service was quite slow for a lunch hour.,food,neutral
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere.",food,neutral
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere.",place,neutral
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere.",ambience,positive
"The Food The French-Belgian menu is small, but everything on it is satisfyingly savory, from a simple pot of mussels in a choice of sauces (beer and bacon, creamy mushroom, or white wine and garlic broth), to beef stewed with beer and prunes; from a juicy croque monsieur and beyond.",food,positive
"The Food The French-Belgian menu is small, but everything on it is satisfyingly savory, from a simple pot of mussels in a choice of sauces (beer and bacon, creamy mushroom, or white wine and garlic broth), to beef stewed with beer and prunes; from a juicy croque monsieur and beyond.",menu,neutral
"The Food The French-Belgian menu is small, but everything on it is satisfyingly savory, from a simple pot of mussels in a choice of sauces (beer and bacon, creamy mushroom, or white wine and garlic broth), to beef stewed with beer and prunes; from a juicy croque monsieur and beyond.",miscellaneous,positive
"I have to agree with the previous review that the atmosphere isn't much, but Mister Falafel can't be beat for quick, delicious, cheap takeout.",ambience,positive
"I have to agree with the previous review that the atmosphere isn't much, but Mister Falafel can't be beat for quick, delicious, cheap takeout.",food,positive
"On the other hand, the food was good but not awesome as had been described, furthermore I found the portions fairly small for this type of restaurant.",food,negative
"On the other hand, the food was good but not awesome as had been described, furthermore I found the portions fairly small for this type of restaurant.",miscellaneous,negative
It was absolutely delicious to the point where i went back and asked for a variety plate They were so nice to accomodate me and gave me almost everything on the menu to taste from.,miscellaneous,neutral
It was absolutely delicious to the point where i went back and asked for a variety plate They were so nice to accomodate me and gave me almost everything on the menu to taste from.,menu,neutral
"Then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested Soy Milk.",staff,negative
"Then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested Soy Milk.",food,neutral
"A waiter looked me in the eye and said we did not order wine, as if to infer we were making this up.",staff,negative
"A waiter looked me in the eye and said we did not order wine, as if to infer we were making this up.",food,neutral
"The only downside was our waitress -- she forgot to order one of our side dishes, was not attentive, and then gave us our check before we finished our bottle of wine.",staff,negative
"The only downside was our waitress -- she forgot to order one of our side dishes, was not attentive, and then gave us our check before we finished our bottle of wine.",food,neutral
"The choices on the menu were very limited-discounting raw items, there were practically no appetizers The foie gras de canard was mediocre with a syrupy sauce.",miscellaneous,negative
"The choices on the menu were very limited-discounting raw items, there were practically no appetizers The foie gras de canard was mediocre with a syrupy sauce.",menu,negative
"The choices on the menu were very limited-discounting raw items, there were practically no appetizers The foie gras de canard was mediocre with a syrupy sauce.",food,negative
When he mentioned that a pinot noir would be a decent match with two disparate plates of a first course (and the even further disparate second course- yes we informed him of our total meal choices PRIOR to our wine selection).,miscellaneous,neutral
When he mentioned that a pinot noir would be a decent match with two disparate plates of a first course (and the even further disparate second course- yes we informed him of our total meal choices PRIOR to our wine selection).,food,positive
"We ordered coffee, and then he ordered a bacon cheeseburger (for $12, ridiculous even for New York) The waiter then announced he was going to charge us a $4 sharing charge.",food,neutral
"We ordered coffee, and then he ordered a bacon cheeseburger (for $12, ridiculous even for New York) The waiter then announced he was going to charge us a $4 sharing charge.",staff,negative
"And the service is unbearable - I waited for ages to get my drink, got the wrong sushi order, and had my appetizer whisked away prematurely.",service,negative
"And the service is unbearable - I waited for ages to get my drink, got the wrong sushi order, and had my appetizer whisked away prematurely.",food,neutral
"Good food, but bad service.",food,positive
"Good food, but bad service.",service,negative
Only con was the cost -- our dinner for two was $400!,price,negative
Only con was the cost -- our dinner for two was $400!,food,neutral
The waitress could have been more specific when I asked for a wine suggestion.,staff,negative
The waitress could have been more specific when I asked for a wine suggestion.,food,neutral
"Waitress we had appered to be very impatient, didn't know the name of the fish in English, apptizer came when we were having entree and she made no apology.",staff,negative
"Waitress we had appered to be very impatient, didn't know the name of the fish in English, apptizer came when we were having entree and she made no apology.",food,neutral
The place got really crowded around 8ish when I went right before Christmas so reservations might be necessary.,place,neutral
The place got really crowded around 8ish when I went right before Christmas so reservations might be necessary.,miscellaneous,neutral
"Plus, everything comes in small to average portions, so the next time you get a sushi craving, I don't recommend that you go here.",miscellaneous,negative
"Plus, everything comes in small to average portions, so the next time you get a sushi craving, I don't recommend that you go here.",food,negative
"When a seemly accommodating Le Souk manager assured you that he had no problem serving a group of twenty on a Saturday evening, I expected him to keep his words or shall I say our table.",staff,positive
"When a seemly accommodating Le Souk manager assured you that he had no problem serving a group of twenty on a Saturday evening, I expected him to keep his words or shall I say our table.",miscellaneous,neutral
"Basically traditional menu could have been boring and old-fashioned, but is instead updated enough to please modern palate: steaks, seafood, fish, poultry - ample portions (we took half home), seasoned with care and imagination.",menu,neutral
"Basically traditional menu could have been boring and old-fashioned, but is instead updated enough to please modern palate: steaks, seafood, fish, poultry - ample portions (we took half home), seasoned with care and imagination.",miscellaneous,positive
"Bartender seemed cool, so maybe I'd go back for a drink.",staff,positive
"Bartender seemed cool, so maybe I'd go back for a drink.",food,neutral
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously.",menu,neutral
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously.",food,positive
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously.",miscellaneous,neutral
Food was good although menu was a little limited(still plenty to chose from).,food,positive
Food was good although menu was a little limited(still plenty to chose from).,menu,neutral
"The food did come out quickly and was good, but not worth the prices or the wait.",food,positive
"The food did come out quickly and was good, but not worth the prices or the wait.",service,positive
"The atmosphere couldn't be better, and the service was outstanding -- at the time there were only two people working the entire bar, and we still got taken care of like it was a five star restaurant.",ambience,positive
"The atmosphere couldn't be better, and the service was outstanding -- at the time there were only two people working the entire bar, and we still got taken care of like it was a five star restaurant.",service,neutral
"The atmosphere couldn't be better, and the service was outstanding -- at the time there were only two people working the entire bar, and we still got taken care of like it was a five star restaurant.",place,neutral
Could have gone to Pastis for a salad three times the size for the same price.,food,neutral
Could have gone to Pastis for a salad three times the size for the same price.,miscellaneous,neutral
Could have gone to Pastis for a salad three times the size for the same price.,price,negative
Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.,food,neutral
Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.,staff,negative
Manager couldn't be bothered to come over and acknowledge the mistake.,staff,negative
Manager couldn't be bothered to come over and acknowledge the mistake.,service,negative
"The menu has many choices, and the dining experience lends itself to being a great place for a date, client dinner, parents' dinner or even a start-off to a night out on the town.",miscellaneous,neutral
"The menu has many choices, and the dining experience lends itself to being a great place for a date, client dinner, parents' dinner or even a start-off to a night out on the town.",place,neutral
I always find myself asking the waiter to make something bland and different than what is on the menu.,staff,negative
I always find myself asking the waiter to make something bland and different than what is on the menu.,menu,neutral
"My greek salad cost about $9 and for that price, I would not have expected chopped olive (as opposed to whole), and shredded bits of lettuce.",price,negative
"My greek salad cost about $9 and for that price, I would not have expected chopped olive (as opposed to whole), and shredded bits of lettuce.",food,neutral
Went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu.,staff,negative
Went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu.,menu,neutral
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,service,positive
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,price,negative
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,food,positive
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,ambience,positive
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",food,neutral
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",miscellaneous,neutral
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",staff,negative
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",place,neutral
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",service,negative
"I prefer to sit at the bar as I don't have to listen to loud, boring conversations from the next table who always seem to be friends of the owner.",place,neutral
"I prefer to sit at the bar as I don't have to listen to loud, boring conversations from the next table who always seem to be friends of the owner.",miscellaneous,neutral
"I prefer to sit at the bar as I don't have to listen to loud, boring conversations from the next table who always seem to be friends of the owner.",staff,negative
"Although we didn't have a reservation, my husband and I enjoyed the food and drinks at the kitchen side seating.",miscellaneous,neutral
"Although we didn't have a reservation, my husband and I enjoyed the food and drinks at the kitchen side seating.",food,neutral
"Although we didn't have a reservation, my husband and I enjoyed the food and drinks at the kitchen side seating.",place,neutral
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",staff,negative
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",ambience,neutral
"But wait, it gets even better, the mussels were so fishy that I had the server try one since he had a hard time believing that this was true.",service,negative
"But wait, it gets even better, the mussels were so fishy that I had the server try one since he had a hard time believing that this was true.",food,negative
"But wait, it gets even better, the mussels were so fishy that I had the server try one since he had a hard time believing that this was true.",staff,negative
"On another occasion, this same gentleman brought bottled water for our entire party [4] on the house again, when we missed our cab and asked to wait inside.",staff,negative
"On another occasion, this same gentleman brought bottled water for our entire party [4] on the house again, when we missed our cab and asked to wait inside.",food,neutral
"When her boyfriend told the host that she would like to keep her seat as it was, he grabbed a chair and slammed it down very hard on the floor.",staff,negative
"When her boyfriend told the host that she would like to keep her seat as it was, he grabbed a chair and slammed it down very hard on the floor.",miscellaneous,neutral
"My friend and I went out for a cigarette, and when we returned, our table had been given to another party- even though our drinks and unpaid bill were still on the table.",food,neutral
"My friend and I went out for a cigarette, and when we returned, our table had been given to another party- even though our drinks and unpaid bill were still on the table.",price,neutral
The only cuisines that will provide comparable quality in the vicinity are Greek (if you know where to look) and Pizza.,miscellaneous,neutral
The only cuisines that will provide comparable quality in the vicinity are Greek (if you know where to look) and Pizza.,food,positive
"When I went for sunday brunch, not only was the food bland and cold, they didn't even bother to clear the plates once they brought the bill.",food,neutral
"When I went for sunday brunch, not only was the food bland and cold, they didn't even bother to clear the plates once they brought the bill.",miscellaneous,neutral
"When I went for sunday brunch, not only was the food bland and cold, they didn't even bother to clear the plates once they brought the bill.",price,neutral
The waiter was able to answer any questions I had about the wine or food.,staff,positive
The waiter was able to answer any questions I had about the wine or food.,food,neutral
"By the end of the meal, we were shaking hands with/hugging our waiter as we stumbled/rolled out the door.",food,neutral
"By the end of the meal, we were shaking hands with/hugging our waiter as we stumbled/rolled out the door.",staff,positive
"The fish of the day can be prepared five different ways according to the menu, but fails to mention that those five different ways are just five different sauces that come out with the whole, deep fried fish.",menu,neutral
"The fish of the day can be prepared five different ways according to the menu, but fails to mention that those five different ways are just five different sauces that come out with the whole, deep fried fish.",food,positive
We started with the guacamole and this is by far the best I've ever had bar none.,food,positive
We started with the guacamole and this is by far the best I've ever had bar none.,place,neutral
"After a few minutes, seeing we were without menus, a slightly more pleasant waitress approached us and explained that the manageress had asthma and wasn't in a good mood.",menu,neutral
"After a few minutes, seeing we were without menus, a slightly more pleasant waitress approached us and explained that the manageress had asthma and wasn't in a good mood.",staff,negative
Call it a bar with weak but tasty sangria and leave it at that.,place,negative
Call it a bar with weak but tasty sangria and leave it at that.,food,negative
"Somewhat agree with the previous reviews about service and the long wait but once seated, the food is well worth it.",service,positive
"Somewhat agree with the previous reviews about service and the long wait but once seated, the food is well worth it.",food,positive
The waiter just slapped my food down and then never returned until he slapped my check down.,staff,negative
The waiter just slapped my food down and then never returned until he slapped my check down.,food,neutral
We saw problems with our waitress immediately when she frowned when we opted for tap water instead of bottled.,staff,negative
We saw problems with our waitress immediately when she frowned when we opted for tap water instead of bottled.,food,neutral
"Our waiter had started to circle around our table like a shark after our 2nd dish, taking out plates when we were not even done.",staff,negative
"Our waiter had started to circle around our table like a shark after our 2nd dish, taking out plates when we were not even done.",miscellaneous,neutral
"Oh, the prices were not so bad either, we paid $58 for chicken, salmon, one sushi roll, one ceasar salad and soda :).",price,neutral
"Oh, the prices were not so bad either, we paid $58 for chicken, salmon, one sushi roll, one ceasar salad and soda :).",food,neutral
"The outdoor tables overlooking bucolic Irving Place, or the wooden ones inside, are prime spots for brunch featuring all the usual suspects--omelets, pancakes, French toast--served on cast iron skillets and griddles.",place,neutral
"The outdoor tables overlooking bucolic Irving Place, or the wooden ones inside, are prime spots for brunch featuring all the usual suspects--omelets, pancakes, French toast--served on cast iron skillets and griddles.",food,positive
"The outdoor tables overlooking bucolic Irving Place, or the wooden ones inside, are prime spots for brunch featuring all the usual suspects--omelets, pancakes, French toast--served on cast iron skillets and griddles.",miscellaneous,positive
Ask for a table closer to the bar than in back of the dining area; the drop ceiling the back compromises enjoying the soaring space of Guastavino's.,place,neutral
Ask for a table closer to the bar than in back of the dining area; the drop ceiling the back compromises enjoying the soaring space of Guastavino's.,food,positive
"Our waitress was pleasant but slow, and the food is simply not good enough to be treated like a nuisance.",staff,negative
"Our waitress was pleasant but slow, and the food is simply not good enough to be treated like a nuisance.",food,positive
waitstaff was more into pushing the sparkling water than give me a wine menu.,staff,negative
waitstaff was more into pushing the sparkling water than give me a wine menu.,food,positive
waitstaff was more into pushing the sparkling water than give me a wine menu.,menu,neutral
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,miscellaneous,neutral
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,staff,positive
"When my (pregnant) friend asked about a non-alcoholic version of a drink, the answer was simply no, with no further suggestions.",food,neutral
"When my (pregnant) friend asked about a non-alcoholic version of a drink, the answer was simply no, with no further suggestions.",miscellaneous,neutral
At the end of the meal the manager stopped by and said dessert was on her.,food,neutral
At the end of the meal the manager stopped by and said dessert was on her.,staff,positive
the staff prefers to watch TV in the main dining room infront of their waiting customers then serve their customers.,staff,negative
the staff prefers to watch TV in the main dining room infront of their waiting customers then serve their customers.,place,neutral
"Cheese on the bottom, sauce on top - not too thick or doughy.",food,positive
"Cheese on the bottom, sauce on top - not too thick or doughy.",miscellaneous,negative
Bread bar couldn't get anything right except water refills (good job to the water guy).,place,neutral
Bread bar couldn't get anything right except water refills (good job to the water guy).,food,neutral
"the manager was nice profecional and service was average but the food was not italian, a diner is better, try po'",staff,negative
"the manager was nice profecional and service was average but the food was not italian, a diner is better, try po'",service,positive
"the manager was nice profecional and service was average but the food was not italian, a diner is better, try po'",food,positive
"the manager was nice profecional and service was average but the food was not italian, a diner is better, try po'",place,positive
"In my opinion, the bar is not very well laid out, its narrow design makes it hard to meet a group for drinks.",place,neutral
"In my opinion, the bar is not very well laid out, its narrow design makes it hard to meet a group for drinks.",miscellaneous,negative
"In my opinion, the bar is not very well laid out, its narrow design makes it hard to meet a group for drinks.",food,positive
"We sat, missing a place setting for a while before the waitress came to ask if we wanted water and then ran away.",ambience,neutral
"We sat, missing a place setting for a while before the waitress came to ask if we wanted water and then ran away.",staff,negative
Don't let the decor fool you because you will miss out in some of the best food you ever eaten.,ambience,positive
Don't let the decor fool you because you will miss out in some of the best food you ever eaten.,food,positive
"Even with reservations, checking in, and a generally quiet night, the hostess forgot that we were there and gave our table to her friends.",miscellaneous,neutral
"Even with reservations, checking in, and a generally quiet night, the hostess forgot that we were there and gave our table to her friends.",staff,negative
"Service was ok, took a while to order even drinks.",service,negative
"Service was ok, took a while to order even drinks.",food,neutral
"The place was nice and the bartenders were friendly, but the cocktail girl was rude, obnoxious, and over charging all of us.",place,neutral
"The place was nice and the bartenders were friendly, but the cocktail girl was rude, obnoxious, and over charging all of us.",staff,negative
"We often come with a baby and the staff is so sweet and kind to her, it is a joy to be there.",miscellaneous,neutral
"We often come with a baby and the staff is so sweet and kind to her, it is a joy to be there.",staff,positive
The food will eventually make you outweigh Anna Nicole Smith.,food,positive
The food will eventually make you outweigh Anna Nicole Smith.,miscellaneous,neutral
"I have to say that I've been there only during brunch time but the service even though slow, it was good.",food,positive
"I have to say that I've been there only during brunch time but the service even though slow, it was good.",service,positive
"Besides the price, here are some other annoyances: bleaching the floors during the dinner and automatically charging you 20% gratuity on your credit card without your knowledge.",price,neutral
"Besides the price, here are some other annoyances: bleaching the floors during the dinner and automatically charging you 20% gratuity on your credit card without your knowledge.",food,neutral
Food again was not just a name on the menu but very well made and fresh.,food,positive
Food again was not just a name on the menu but very well made and fresh.,menu,neutral
